AgentType,RoundType,Scenario,PeepConstant,EnforceMajority,AverageUtilityNonCats,AverageUtilityCats,AveragePopularityNonCats,AveragePopularityCats,UtilityLog,PopularityLog
homoSelfPlay.csv,"[4, 3]",SelfPlay,0.9,False,14.0,NAN,149.80567235745792,NAN,"[[14.0, 15.0, 14.0, 14.0, 15.0, 12.0, 15.0, 14.0, 14.0, 13.0], [12.0, 13.0, 15.0, 15.0, 14.0, 14.0, 15.0, 15.0, 15.0, 12.0], [14.0, 13.0, 16.0, 13.0, 14.0, 10.0, 15.0, 14.0, 16.0, 15.0], [14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 15.0, 14.0, 15.0, 12.0], [15.0, 17.0, 13.0, 15.0, 16.0, 14.0, 12.0, 11.0, 15.0, 12.0]]","[[142.8827387225483, 157.07730219285753, 166.52475596297967, 158.50922368191732, 161.7443112201323, 132.57554480836663, 156.69246160007722, 163.36966790559944, 139.25766437336162, 124.99658852352063], [162.4431997514302, 134.88741924402595, 166.09968246600016, 153.16439730270778, 150.15696600045658, 151.4380756572095, 158.85041642702933, 142.37726840156674, 159.25940889247084, 124.95342484846341], [154.3505094436592, 163.19920181102208, 150.16930923563066, 146.73061995061323, 157.8675978328568, 113.36841971500351, 153.56476726298393, 157.75586470007323, 150.82168206364213, 155.80228697587572], [148.04738704766402, 163.31017866599385, 150.2392865261676, 160.123871579108, 157.0686784872406, 153.51742173736503, 144.96989432150085, 113.8362059066002, 158.217221830998, 154.30011288872248], [149.0921496392564, 133.02233215227207, 157.79094306017956, 198.7938297064862, 135.27936341463726, 175.0029447619666, 139.74464021847604, 114.94203930889667, 135.17819892420863, 136.91614072107464]]"
homoSelfPlay.csv,"[4, 3]",SelfPlay,1.0,False,14.0,NAN,150.36302589913606,NAN,"[[12.0, 15.0, 15.0, 14.0, 14.0, 14.0, 14.0, 14.0, 12.0, 16.0], [14.0, 14.0, 13.0, 16.0, 15.0, 14.0, 13.0, 12.0, 14.0, 15.0], [15.0, 14.0, 15.0, 14.0, 14.0, 14.0, 12.0, 14.0, 14.0, 14.0], [12.0, 13.0, 16.0, 14.0, 14.0, 14.0, 14.0, 15.0, 14.0, 14.0], [14.0, 12.0, 15.0, 12.0, 15.0, 14.0, 14.0, 15.0, 15.0, 14.0]]","[[150.99980972164937, 161.22756029964512, 158.6667277143557, 159.50803187551162, 158.77322556767473, 160.8989908161002, 152.15103177048587, 140.4416898022828, 105.22708918554834, 155.73610223810695], [148.61568661936766, 135.4047954355038, 151.36733886069584, 158.57748587647265, 164.66655313788578, 140.72110355655286, 155.3758178187173, 139.5520459884772, 151.44698555427112, 157.9024461434163], [161.07726040708732, 151.92559526792633, 114.70953781399258, 152.1336810374921, 164.64091287448065, 155.05908270602697, 159.1668898322144, 149.0320796621414, 140.45486140067882, 155.43035798931993], [156.81940624046706, 149.04009660787463, 154.85558024619397, 147.8086093601166, 153.36963681120872, 157.87887081256824, 152.71009419031589, 157.35810546508117, 121.48780108750273, 152.3020581700316], [156.32786561990198, 154.31190076693127, 143.84342175950397, 103.0550447689633, 160.79457902678493, 152.9381494150279, 144.90230707087252, 163.1537049924905, 164.5172921389378, 159.7859934319463]]"
mixedSelfPlay.csv,"[""J"", 3]",SelfPlay,1,True,NAN,NAN,118.01748834382616,NAN,[],"[[128.27953388521115, 130.07609800230134, 115.78714566717395, 132.3775869716199, 111.68065528487813, 117.96055178639185, 123.61943761494285, 95.26495295287239, 109.53808433863523, 118.79376194408553], [121.63875209521336, 110.39859515388954, 121.37986977584023, 131.31156348114973, 115.33772045646188, 107.16234987306811, 125.64098595967806, 115.93048755533184, 115.6395764550268, 116.5324927174425], [112.94310209399319, 115.64467207659158, 116.58660591960145, 120.12510909159207, 128.36262358806923, 125.99226461262177, 118.5348304020664, 102.54439531411163, 122.59074902608828, 117.28700320999988], [128.76600893140687, 113.82690644861597, 110.69854043048886, 128.66241151581585, 113.86481827509704, 115.97682708056954, 129.2000408481944, 125.81919896204528, 92.28224477271954, 118.09729344322648], [114.01336406019885, 123.99338474017804, 118.84899835028762, 114.76003518453246, 114.71921400101306, 125.61343493155562, 124.86124222254566, 93.9204166871229, 125.35911331195993, 122.62936568778417]]"
mixedSelfPlay.csv,"[""S"", 3]",SelfPlay,0,True,11.200000000000001,NAN,NAN,NAN,"[[13.0, 12.0, 12.0, 19.0, 15.0, 13.0, 10.0, 15.0, 14.0, 17.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [14.0, 12.0, 12.0, 10.0, 10.0, 13.0, 10.0, 14.0, 12.0, 13.0]]",[]
mixedSelfPlay.csv,"[""S"", 3]",SelfPlay,0,False,16.0,NAN,NAN,NAN,"[[13.0, 18.0, 13.0, 19.0, 15.0, 16.0, 15.0, 19.0, 16.0, 16.0], [14.0, 19.0, 14.0, 14.0, 19.0, 14.0, 14.0, 16.0, 20.0, 16.0], [15.0, 17.0, 16.0, 15.0, 20.0, 18.0, 16.0, 14.0, 14.0, 15.0], [20.0, 22.0, 15.0, 17.0, 10.0, 13.0, 15.0, 19.0, 13.0, 16.0], [16.0, 15.0, 14.0, 15.0, 11.0, 14.0, 17.0, 24.0, 20.0, 14.0]]",[]
mixedSelfPlay.csv,"[4, 3]",SelfPlay,0.0,True,10.8,NAN,146.19195559749386,NAN,"[[12.0, 12.0, 12.0, 13.0, 10.0, 12.0, 12.0, 13.0, 12.0, 12.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 16.0, 10.0, 13.0, 13.0, 10.0, 13.0, 12.0, 10.0, 13.0]]","[[146.23059123078906, 148.79925088929974, 140.43978721216746, 159.5644857451664, 159.4405700016616, 154.42563871315122, 153.0308171637937, 138.8733659357018, 138.34377678010426, 147.9631496181988], [127.79766562978502, 163.97214672074955, 157.6495378050816, 133.73689187396675, 147.86640348890023, 168.42100164517598, 155.5624442478229, 112.0605314953164, 176.8352429388917, 146.56222477349235], [151.33653114377427, 142.87579955428012, 145.37014146096828, 128.43487080227436, 160.31190748344477, 150.12429019101253, 146.73680867790208, 79.96916544073163, 173.8939194864584, 141.45228899754798], [185.73901548318233, 142.22321382053934, 146.38517451927382, 104.88640660422055, 174.47422745532646, 142.0605830315376, 126.63956795747089, 114.094072647251, 127.31641557955146, 182.44787001786548], [153.6767908871729, 172.81348471820095, 110.35855142876746, 170.42271541048942, 149.36522265525508, 118.78857111032708, 146.7141806682058, 161.26949314627657, 133.9897081183551, 147.85126746781256]]"
mixedSelfPlay.csv,"[4, 3]",SelfPlay,0.1,True,12.0,NAN,149.14736821453283,NAN,"[[12.0, 11.0, 12.0, 13.0, 12.0, 11.0, 12.0, 12.0, 13.0, 12.0], [13.0, 12.0, 12.0, 12.0, 12.0, 11.0, 14.0, 11.0, 12.0, 11.0], [12.0, 12.0, 12.0, 13.0, 10.0, 12.0, 13.0, 12.0, 12.0, 12.0], [12.0, 10.0, 12.0, 11.0, 13.0, 11.0, 13.0, 14.0, 11.0, 13.0], [12.0, 13.0, 12.0, 11.0, 12.0, 12.0, 13.0, 13.0, 12.0, 10.0]]","[[159.11414144957013, 142.91299253305849, 140.05763197773456, 162.6184971197973, 148.78229280943734, 130.71717204232044, 157.3248147700463, 130.79166015409868, 164.87647549706276, 156.52470814729978], [151.55337695271137, 166.70056705833161, 145.1753415877048, 156.46164978422945, 158.81079935308287, 137.7758965237918, 151.97771319458153, 134.88627739056443, 141.98012995886506, 147.93030414837781], [153.56270009496382, 147.2862035722315, 151.52749771314424, 137.20499187890496, 131.29327866972315, 158.11906171726062, 171.50118274158342, 129.15348999220907, 154.18563812605686, 160.03379363827756], [158.31810498837683, 122.91995390029523, 163.0623893714786, 147.61944394053936, 150.61018596137134, 138.40811883097146, 161.21729282872076, 129.60712824957804, 144.61954134628775, 172.28837990850352], [142.5007763393659, 160.7182970763203, 162.85408550783853, 144.59885820712196, 152.8391027209713, 158.4152221303833, 159.43529126602985, 122.60635893916222, 145.9713942595898, 137.91820435671303]]"
mixedSelfPlay.csv,"[4, 3]",SelfPlay,0.2,True,11.6,NAN,149.0067919076293,NAN,"[[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [12.0, 13.0, 12.0, 12.0, 12.0, 12.0, 13.0, 12.0, 12.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [12.0, 11.0, 12.0, 13.0, 13.0, 11.0, 13.0, 12.0, 11.0, 12.0], [16.0, 15.0, 15.0, 13.0, 14.0, 13.0, 12.0, 15.0, 13.0, 14.0]]","[[128.17407962248393, 150.6713190595997, 147.77686044990935, 155.42354837976694, 155.1518561168611, 163.4849657450738, 151.4881468361689, 135.48760441389305, 156.90462834689848, 149.8034661229313], [158.07257500815376, 149.42150277173343, 159.91586053467765, 164.17924146962326, 154.1224511761639, 158.45897751561657, 151.337747840098, 133.68864268378707, 134.80809267523554, 129.82497636597296], [117.73621954196513, 159.32425848233808, 115.09770021295435, 108.64424579438034, 174.30753576777835, 161.8550342373769, 166.6235788330783, 135.00163097610917, 161.36236518055298, 192.1347175271378], [148.8544951284401, 151.40602154120006, 165.37557737056235, 156.73548065874104, 161.04863177124207, 151.337641336202, 144.41001934522308, 115.29392968699467, 130.55864746528303, 161.4608324810581], [161.52742157081613, 158.7498696429248, 163.93614824552407, 133.28153004535383, 150.6115411136571, 148.0801728676479, 147.3800272020566, 128.2492932383538, 142.8272687084802, 148.93121627338377]]"
mixedSelfPlay.csv,"[4, 3]",SelfPlay,0.3,True,11.200000000000001,NAN,147.0019746451607,NAN,"[[15.0, 12.0, 14.0, 14.0, 14.0, 14.0, 13.0, 15.0, 13.0, 16.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [14.0, 14.0, 10.0, 14.0, 10.0, 13.0, 13.0, 10.0, 12.0, 10.0]]","[[152.03127743495924, 131.26670686790283, 159.8490421036773, 135.86848756903362, 157.95629509709286, 150.1028699651616, 164.81293411936133, 127.85624458701675, 138.61092449650556, 173.616362921388], [139.12114064773328, 145.72937881484435, 156.20033633985406, 142.99311727269918, 138.80547384392406, 163.32945241330683, 154.95967816733656, 139.9668209019815, 154.84033456962823, 155.6901255374023], [154.44771596361446, 154.77516980055975, 170.16560900029444, 137.14975634114316, 148.3662676894486, 138.98320370700708, 132.5246189804189, 138.14586976040644, 153.70831507278874, 141.03408723605426], [174.2200869452611, 159.2943972186211, 163.3144277326722, 102.10440775625221, 162.01377810859188, 107.27670888878187, 144.82011201987459, 109.20862642243796, 163.75407556238778, 159.73653221889975], [155.66336328043957, 137.68724676017456, 151.09943304013282, 144.3950619538513, 157.49445593729854, 162.21449460723338, 130.71640283672272, 133.20706401399931, 135.1568463256065, 143.81359340625056]]"
mixedSelfPlay.csv,"[4, 3]",SelfPlay,0.4,True,11.6,NAN,146.91538446482338,NAN,"[[13.0, 12.0, 12.0, 13.0, 10.0, 12.0, 12.0, 12.0, 12.0, 12.0], [11.0, 13.0, 12.0, 12.0, 12.0, 11.0, 11.0, 13.0, 12.0, 13.0], [13.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 13.0, 12.0, 10.0], [10.0, 10.0, 12.0, 14.0, 10.0, 13.0, 14.0, 12.0, 13.0, 12.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[[151.5685490056792, 144.4666159444, 154.24404120935523, 153.71141012768595, 136.09079868620188, 163.1257355569045, 145.52404551895583, 140.7613203547948, 150.83782811123078, 150.71426256045547], [110.39887649822099, 148.9418711753576, 159.16725337318633, 162.91418394253253, 160.25353249901715, 151.13866883284427, 129.16101084848788, 142.63509939798882, 171.48937537671148, 147.36174543690385], [162.65169068616527, 150.1474079019236, 134.87809915999514, 103.87675631102218, 171.1716395949866, 154.089214378227, 166.10073988198465, 128.96941884189857, 155.65314949788933, 156.38490498450807], [152.39149129061184, 98.36984845438856, 145.67368259689124, 177.48746555015126, 127.10419522040551, 149.56956087850878, 169.77080025105258, 139.0745897367991, 147.99088696923351, 144.9166808818338], [150.22491736423288, 152.05381263504862, 174.27705071453641, 161.4804216692513, 150.42671831669097, 156.7828367955221, 140.7336497710047, 126.90074883954217, 111.56281715803364, 110.54780245191581]]"
mixedSelfPlay.csv,"[4, 3]",SelfPlay,0.5,True,11.2,NAN,149.118668319664,NAN,"[[12.0, 10.0, 12.0, 13.0, 13.0, 12.0, 13.0, 10.0, 13.0, 12.0], [12.0, 12.0, 13.0, 10.0, 12.0, 14.0, 11.0, 11.0, 12.0, 13.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0], [12.0, 13.0, 12.0, 12.0, 12.0, 12.0, 10.0, 12.0, 13.0, 12.0], [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]]","[[150.98064992027236, 135.86576076198904, 146.15378167233712, 162.28162462235056, 156.81105793396955, 150.8318334930873, 156.7461385267176, 142.79943411620894, 146.91577183831257, 144.7252143562382], [166.30042232517036, 164.62616632532476, 165.42103893891075, 139.53666401531544, 145.71962010595155, 159.71474995150868, 126.17523019305285, 131.26798918727118, 146.87929136377159, 148.33007096885055], [143.86849818074938, 152.9687229323682, 147.47646732755058, 149.98403830932304, 161.45472328379284, 165.38557739794302, 169.3551464528067, 128.05024658933655, 137.7875236745344, 136.83298648290176], [142.5635308585779, 145.59122558624318, 158.2964388625752, 173.4560994868657, 143.72727261347873, 146.7382279888007, 148.24995359730536, 130.04191641482734, 150.52729224946032, 154.6382066738736], [142.55662692724343, 180.51090949986093, 111.26941191434567, 173.0679859365572, 182.76298758992044, 159.3306008158138, 140.21355390157322, 101.92550355562457, 143.23482728222007, 145.9844029801145]]"
