Genes,GamesPlayed,RelativeFitness,AbsoluteFitness
genes_6_96_21_57_81_26_6_20_60_30_50_78_43_93_72_85_85_58_81_16_40_16_33_62_11_79_11_43_35_94_27_90_28_64_43_31_19_35_10_68_66_32_10_41_70_26_37_90_87_54_50_77_20_7_51_64_7_0_78_37_89_88_95_76_69_97_55_25_82_23_100_99_78_32_7_26_2_15_54_30_26_7_78_40_14_51_90_17_24_9_82_71_95_84_43_80_53_49_97,0,0.0,0.0
genes_6_7_21_57_49_48_50_40_62_33_73_78_43_93_72_85_85_58_79_16_40_16_33_62_11_85_17_42_37_40_26_90_28_64_24_31_23_65_37_66_34_81_34_41_100_26_33_67_91_49_34_74_20_4_51_42_40_6_78_37_97_60_95_76_69_94_55_3_17_37_90_32_78_33_0_28_2_56_86_30_28_7_78_40_14_95_21_18_28_9_82_72_92_88_45_86_53_52_99,0,0.0,0.0
genes_14_8_81_57_76_22_61_20_62_57_73_79_43_93_74_85_88_54_8_98_40_21_33_90_11_81_42_23_38_97_30_40_61_63_77_28_49_69_0_63_18_80_37_39_100_21_38_47_95_50_41_76_20_13_22_41_40_15_100_37_96_86_97_20_67_94_82_29_17_21_90_38_78_32_1_25_4_56_58_34_28_35_83_39_14_95_21_18_24_4_100_70_85_80_45_86_53_43_10,0,0.0,0.0
genes_49_7_25_82_84_50_61_20_79_67_73_48_67_72_70_80_85_56_13_16_27_16_30_90_17_80_70_43_37_94_31_93_66_64_22_61_10_65_7_67_31_77_2_65_33_26_38_90_96_50_50_74_20_54_14_41_40_6_78_37_80_80_93_78_32_38_59_4_82_33_97_100_78_32_16_12_12_85_85_30_28_15_78_35_14_98_87_17_21_0_99_70_95_88_45_86_51_48_8,0,0.0,0.0
genes_14_8_19_57_51_26_6_20_65_33_73_81_67_72_71_85_74_49_81_20_40_23_26_90_33_80_20_23_39_94_27_44_66_61_22_61_48_40_27_65_15_81_34_41_100_88_34_51_90_49_50_74_22_58_6_59_40_6_77_6_96_82_92_78_26_98_54_25_87_21_90_38_81_32_5_10_49_80_61_87_29_16_78_44_11_11_91_48_24_6_99_71_89_54_44_80_54_49_8,0,0.0,0.0
genes_14_12_25_82_9_26_6_22_57_33_52_79_43_72_73_85_85_49_8_16_44_23_30_14_11_80_21_23_34_98_22_44_51_61_80_61_45_40_27_72_18_32_34_44_72_68_83_51_90_59_50_43_20_54_6_59_40_15_75_36_99_82_98_74_26_82_89_3_17_21_90_32_78_32_6_9_7_80_49_26_29_12_99_82_14_11_93_17_24_5_100_72_89_97_44_80_54_49_11,0,0.0,0.0
genes_14_12_25_82_11_3_93_20_18_39_57_79_43_72_73_0_41_64_8_100_40_11_30_89_11_75_21_20_37_93_27_90_28_62_80_57_40_65_33_63_18_29_38_42_72_26_38_90_92_49_38_43_20_54_53_8_40_15_72_2_99_86_98_75_36_94_89_3_17_42_90_33_78_32_6_35_7_77_49_26_29_16_78_35_14_11_90_17_17_5_100_77_92_97_45_79_54_53_11,0,0.0,0.0
genes_14_8_81_57_84_22_61_20_57_67_73_79_51_88_74_85_41_54_13_98_27_13_32_61_11_81_74_23_38_94_30_40_61_64_20_28_49_67_0_81_18_77_34_41_100_24_38_47_96_50_41_76_20_13_14_56_40_6_82_37_97_80_97_78_10_94_56_29_82_32_90_38_78_32_16_8_12_56_55_89_28_35_78_33_14_95_90_18_24_9_100_70_95_88_72_80_53_53_99,0,0.0,0.0
genes_17_9_22_57_84_22_50_20_62_33_50_75_43_93_75_85_88_49_79_16_40_16_33_90_11_85_12_45_35_40_26_26_27_64_43_62_18_70_32_66_66_73_34_41_99_26_38_64_96_49_46_74_20_7_7_42_42_10_78_37_80_60_92_76_31_94_55_3_17_37_90_32_78_32_1_30_2_15_86_30_28_35_78_40_14_51_21_18_21_9_93_73_95_88_45_86_53_52_13,0,0.0,0.0
genes_21_7_21_57_84_50_93_40_62_67_50_79_67_73_74_4_85_56_13_16_38_16_33_62_11_79_17_43_37_40_26_40_66_64_22_32_14_69_7_67_18_77_2_37_100_26_37_90_61_54_34_74_20_54_51_64_40_6_78_37_97_65_90_76_10_92_55_3_82_32_97_95_80_32_1_28_12_15_18_30_26_12_79_40_14_51_90_18_21_9_82_70_95_88_77_86_53_52_99,0,0.0,0.0
