AgentType,RoundType,Scenario,PeepConstant,EnforceMajority,AverageUtilityNonCats,AverageUtilityCats,AveragePopularityNonCats,AveragePopularityCats
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.5,False,30.625,17.5,56.34296473422985,542.6034968858224
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.6,True,16.0,16.0,57.8124537357342,551.7330669947603
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.6,False,30.625,17.0,46.596276665996555,556.8557921226002
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.7,True,18.0,18.0,130.56253208173183,530.6982430375149
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.7,False,29.3125,22.25,69.14891312796709,535.7237218189686
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.8,True,16.0,16.0,67.59065229002717,545.7048317199176
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.8,False,27.6875,29.25,66.14041899508419,553.5446573690673
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.9,True,12.0,12.0,45.49100175246949,558.7291253173278
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.9,False,28.625,25.5,84.07028695467494,533.8242973980864
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,1.0,True,17.0,17.0,126.73659287327173,517.0490724787074
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,1.0,False,28.1875,27.25,130.49907193783372,524.4788823925797
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.0,True,17.0,17.0,82.44149077114992,552.52653667694
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.0,False,28.625,25.5,83.9125583377635,552.4713188818754
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.1,True,14.0,14.0,88.19638168144502,539.8869858964171
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.1,False,27.875,28.5,90.24088602835702,535.3587731026207
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.2,True,15.0,15.0,42.463429895062546,555.469912776263
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.2,False,28.375,26.5,82.72817585166999,546.6216488968978
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.3,True,16.0,16.0,62.081241407768616,545.4683181769499
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.3,False,28.5625,25.75,97.680378070894,537.3360326996446
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.4,True,16.0,16.0,56.533988426509296,547.7832898148786
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.4,False,29.5,22.0,74.356903130566,551.0794709181753
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.5,True,19.0,19.0,98.94631734385163,532.7093246957219
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.5,False,29.625,21.5,42.3168749985591,557.6138742256144
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.6,True,16.875,17.5,118.60835356374356,517.0368572676504
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.6,False,28.0625,27.75,92.41264712301182,547.828024942412
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.7,True,16.0,16.0,65.20487390900871,524.6266465055198
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.7,False,28.375,26.5,87.41583042642112,547.897918648074
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.8,True,15.0,15.0,39.75869544262561,547.3149665256428
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.8,False,30.25,19.0,72.37861477730937,539.4797068701529
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.9,True,14.0,14.0,47.18676611373504,563.942858252972
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,0.9,False,28.625,25.5,71.87031107655352,544.2213123490004
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,1.0,True,20.0,20.0,95.46246151396016,547.0068045868628
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2OldKitties,1.0,False,28.0,28.0,262.88819495990447,486.43899261860895
