Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_14_59_36_33_53_4_80_79_82_44_17_24_67_73_84_8_25_45_99_84_70_82_31_99_79_23_28_35_59_77_71_18_81_20_35_58_24_69_80_69_15_50_79_71_53_95_72_32_68_91_95_27_94_55_14_80_81_65_58_92_25_22_24_86_21_22_3_64_25_43_39_31_27_27_19_76_72_89_14_100_52_27_88_93_38_11_79_63_10_87_10_98_96_26_72_5_5_21_99,1,0.0,5.0
genes_35_78_89_6_15_4_95_67_70_76_70_33_5_71_47_5_21_70_16_63_85_18_21_98_65_70_51_6_64_76_33_21_80_16_98_60_64_65_0_69_57_42_85_33_63_36_85_13_68_90_92_36_12_7_84_88_76_88_58_92_2_96_25_41_82_11_61_22_25_57_51_31_76_29_20_86_0_89_39_76_79_10_82_53_56_1_53_33_67_89_26_20_35_52_8_25_25_34_64,1,0.0,5.0
genes_16_98_4_17_12_3_74_32_4_52_57_35_5_76_95_5_92_35_16_26_93_29_20_59_18_57_52_93_49_41_31_78_76_54_36_60_41_68_64_19_13_42_78_33_1_63_20_13_30_43_67_9_92_15_83_0_18_71_60_89_8_19_45_41_21_21_17_45_27_11_98_4_90_47_54_41_84_90_27_56_18_4_82_93_77_100_74_67_26_88_72_60_39_24_18_69_8_73_25,2,0.0,5.0
genes_77_98_49_39_15_4_39_59_0_65_89_32_55_22_84_14_86_73_0_87_80_89_22_97_48_22_31_12_93_77_92_99_23_17_27_50_34_65_8_100_14_38_62_71_75_29_80_58_100_91_70_27_28_14_12_2_85_27_66_66_26_66_30_75_82_23_11_47_12_94_79_36_70_27_47_81_62_58_55_100_31_57_83_93_61_19_57_63_51_28_80_56_65_52_85_46_23_70_99,1,0.0,5.0
genes_32_10_90_90_9_91_30_31_50_44_54_32_5_71_22_8_72_72_56_79_90_31_69_98_92_28_28_48_51_37_32_14_23_66_20_57_9_59_17_50_8_42_89_44_49_6_13_52_35_55_98_48_20_96_84_32_84_70_61_65_39_14_25_71_64_52_9_51_19_21_79_45_80_28_23_41_78_58_23_15_33_86_70_45_34_99_88_33_64_43_85_21_35_54_18_31_16_72_31,2,0.0,5.0
genes_44_86_35_48_85_4_70_70_7_48_61_32_92_73_87_7_82_76_14_5_28_25_33_83_21_32_0_46_68_74_31_78_76_16_18_77_85_56_16_48_53_42_82_15_62_74_7_55_89_93_58_27_92_12_85_38_82_70_51_92_8_94_46_93_84_12_17_43_44_100_18_33_19_47_51_88_8_60_28_56_77_10_65_64_27_12_100_66_22_88_29_85_66_84_74_23_40_70_49,1,0.0,5.0
genes_82_59_36_9_8_87_80_27_24_41_71_34_68_73_33_8_84_31_93_31_44_45_31_90_15_61_28_87_90_95_44_14_76_29_40_71_60_69_96_9_23_43_34_31_28_96_67_54_92_92_66_25_94_95_10_27_81_66_54_67_30_94_15_90_20_10_1_30_11_95_19_69_9_28_34_43_8_16_20_43_55_10_93_70_63_28_57_42_7_28_94_43_31_26_69_25_5_56_62,1,0.0,5.0
genes_15_87_5_3_50_85_65_35_24_20_58_24_12_74_95_72_92_27_93_25_86_50_18_47_15_61_90_10_67_41_90_90_39_55_10_74_36_59_16_81_25_43_15_35_32_6_81_23_66_63_63_5_92_49_61_11_61_23_10_84_8_19_39_33_76_52_85_30_64_87_69_0_61_81_27_90_72_99_32_60_57_56_89_63_58_73_98_33_75_88_49_60_35_52_45_27_63_0_29,1,0.0,5.0
genes_72_95_10_53_84_3_3_27_58_20_73_24_67_74_22_8_82_72_12_84_86_32_43_69_48_27_51_46_67_89_88_90_39_50_34_74_24_48_9_9_15_43_79_12_34_70_73_6_84_66_76_14_90_100_58_11_9_4_51_64_58_19_34_93_51_16_85_30_99_8_81_0_17_13_18_95_58_21_35_100_0_52_96_97_63_42_79_24_8_88_15_49_30_95_51_62_11_85_33,1,0.0,5.0
genes_36_6_39_6_6_83_41_43_0_63_58_32_7_71_82_6_92_69_11_83_77_25_72_80_90_31_94_46_73_94_33_6_79_64_100_47_26_99_53_53_26_37_100_75_63_30_82_6_89_56_32_63_92_5_6_51_4_16_7_46_37_19_49_84_84_15_15_40_49_98_85_29_0_50_23_46_62_88_28_9_24_8_88_65_77_42_56_30_22_58_85_49_31_89_47_57_39_44_64,1,0.0,5.0
genes_44_59_0_6_18_1_65_59_87_21_89_36_4_94_81_5_25_23_13_88_85_24_22_97_15_66_21_96_19_37_71_18_23_61_98_31_23_66_83_51_18_48_57_34_63_56_42_58_18_93_84_31_92_12_54_11_78_2_61_90_26_96_43_38_82_91_11_55_79_99_80_70_19_92_27_25_8_60_11_24_77_57_83_72_91_26_79_22_59_28_89_56_30_52_82_68_10_71_71,5,0.0,5.0
