Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_44_68_62_34_81_59_82_57_90_4_89_89_58_29_51_68_12_24_10_1_38_35_81_11_72_42_3_29_7_41_24_89_51_36_63_98_12_48_49_14_81_92_12_87_18_3_15_14_46_2_67_66_61_79_67_79_92_3_97_48_16_84_86_89_26_56_62_36_22_20_86_19_23_5_12_94_42_31_65_34_17_6_39_17_30_92_70_29_16_89_81_91_0_32_0_21_34_8_87,1,0.12,17.0
genes_24_57_67_57_81_16_43_97_36_63_84_75_96_15_67_22_94_20_13_26_13_48_55_6_83_35_92_33_68_27_44_96_48_32_35_76_4_80_72_92_50_20_64_87_22_9_87_10_41_11_62_65_98_3_60_74_1_32_88_43_69_74_37_16_17_20_31_95_4_32_0_15_97_18_70_90_43_79_56_16_13_42_39_17_87_99_70_29_75_85_28_39_1_40_9_76_33_79_92,1,0.0857,17.0
genes_77_74_65_23_79_43_78_95_38_38_47_71_100_36_48_29_100_6_42_76_74_63_59_19_21_21_90_47_64_39_95_90_66_15_65_20_15_77_98_16_36_33_33_19_19_17_20_7_15_58_60_66_61_82_69_89_43_0_98_80_17_27_15_88_19_100_53_100_50_11_86_37_94_16_57_99_6_90_58_46_13_54_15_96_34_54_8_63_75_86_35_27_100_55_0_48_3_70_40,1,0.12,17.0
genes_77_64_65_56_48_43_39_95_72_38_62_46_100_35_56_59_100_25_42_62_74_63_77_8_16_21_37_49_91_32_38_92_91_30_63_20_71_70_97_16_1_33_63_26_19_10_25_7_41_22_60_68_86_82_69_80_73_0_98_33_100_79_85_20_19_100_59_100_54_38_75_33_56_7_71_89_74_90_20_46_12_90_51_0_55_21_87_63_98_22_30_60_100_36_0_1_38_68_74,1,0.15,17.0
genes_78_66_53_25_50_92_36_95_26_56_35_91_6_59_48_80_14_26_61_88_11_84_59_17_20_42_90_44_70_36_63_53_91_22_94_22_15_71_41_39_0_33_33_78_32_18_84_70_97_0_60_68_88_71_58_8_69_0_93_49_7_49_34_89_0_54_54_56_50_13_1_75_20_5_82_89_19_78_6_2_16_48_39_17_59_5_71_24_9_94_81_56_4_31_86_4_64_70_7,1,0.12,17.0
genes_19_60_20_16_48_33_74_32_75_0_38_91_97_2_97_70_96_17_62_26_49_40_70_13_70_11_96_61_42_35_7_90_51_23_24_60_44_69_48_31_0_71_63_90_58_9_71_10_42_27_64_35_62_71_75_80_71_71_83_92_18_78_15_20_21_20_66_30_69_20_13_17_89_2_37_88_10_98_11_3_17_95_47_15_66_92_70_0_70_86_39_94_6_74_0_53_31_50_69,1,0.15,17.0
genes_78_69_62_35_24_37_82_32_90_22_90_88_100_12_57_31_94_26_55_83_11_48_73_4_30_58_86_47_90_88_7_53_88_21_84_12_84_77_31_84_32_100_56_26_22_24_78_17_41_1_59_63_88_3_61_11_3_0_100_0_10_38_86_20_5_63_0_61_68_15_4_33_94_73_37_60_70_46_5_3_18_8_39_17_26_12_0_19_98_85_35_55_95_53_0_75_68_53_92,1,0.12,17.0
genes_91_69_71_14_26_38_35_36_46_4_33_71_96_22_95_47_94_27_56_88_52_86_91_6_25_35_40_70_31_33_7_51_51_24_77_54_74_84_82_28_0_77_91_46_25_15_76_48_27_27_38_61_82_66_67_79_83_0_82_57_16_55_37_88_8_53_5_28_21_43_92_51_58_33_72_97_78_84_64_3_53_58_59_40_23_99_74_16_44_86_81_52_99_72_0_74_34_74_2,2,0.1288,16.5
genes_19_24_66_53_89_33_15_42_89_22_33_69_96_63_82_68_100_19_42_37_0_61_77_79_52_42_95_36_94_28_63_53_95_32_87_65_24_78_94_100_0_100_93_87_22_17_25_10_42_11_63_71_64_23_18_9_74_4_86_35_91_37_84_20_13_20_71_87_32_20_53_33_89_34_69_93_47_89_9_64_53_34_29_19_6_17_97_21_37_86_94_60_100_36_8_17_8_53_92,1,0.0917,16.0
genes_19_8_65_56_48_96_39_57_87_3_67_46_70_15_33_59_96_31_61_62_0_71_77_8_61_36_42_36_91_32_36_40_89_27_64_97_15_70_93_47_1_70_26_24_19_10_25_10_23_22_73_89_52_66_18_8_53_4_80_48_10_75_28_20_26_52_66_19_51_18_4_38_56_12_71_9_74_45_17_34_55_90_15_6_30_14_86_21_71_91_30_56_3_55_10_55_7_79_90,2,0.0688,16.0
genes_59_63_66_7_78_43_76_96_38_18_72_69_100_15_69_18_60_15_61_88_7_83_73_2_20_41_95_72_55_41_91_53_91_26_13_100_51_74_46_14_32_21_95_21_19_17_33_5_41_54_46_35_82_60_75_99_5_0_96_55_54_7_29_98_16_85_59_17_36_10_13_49_21_6_38_88_38_12_9_2_11_43_47_49_30_86_70_17_17_94_75_52_40_33_94_55_6_78_43,1,0.0688,16.0
genes_66_60_66_55_84_55_64_16_70_2_81_87_96_46_51_78_14_24_61_80_13_88_52_14_22_44_100_17_68_45_92_47_48_21_53_27_1_77_43_100_54_77_31_94_34_5_14_6_42_16_85_68_61_79_15_82_59_30_96_76_94_42_38_16_66_61_61_23_4_20_1_34_95_5_32_86_43_73_12_1_11_42_47_15_87_17_53_24_96_86_81_59_1_50_56_26_42_31_92,4,0.1056,15.5
genes_0_63_69_2_23_100_82_38_59_22_67_88_100_13_55_18_60_22_55_96_76_48_73_13_70_58_44_43_9_32_3_53_93_28_24_84_15_99_76_44_0_100_86_26_22_12_70_66_41_1_46_71_61_3_68_99_100_2_98_0_16_38_23_46_6_63_0_100_77_42_72_33_94_91_54_88_81_46_13_2_20_10_47_15_33_17_50_44_89_15_42_55_95_72_0_50_93_48_87,1,0.1,15.0
genes_64_63_71_0_44_16_37_9_95_27_68_71_98_36_51_18_23_12_42_22_49_51_70_5_76_59_97_69_64_41_11_95_59_21_95_57_85_76_43_33_50_32_91_21_29_22_13_8_34_1_59_68_63_79_61_82_59_11_100_47_100_49_77_46_3_59_63_18_32_100_15_35_56_82_53_7_42_75_9_3_11_95_44_15_29_10_100_11_96_86_25_50_47_77_84_77_46_44_91,1,0.0833,15.0
genes_73_57_69_29_80_38_75_42_84_18_45_17_96_35_71_49_16_7_61_26_7_59_73_29_24_23_95_43_46_27_88_56_95_23_79_100_15_78_46_14_76_32_43_98_19_18_56_53_41_54_46_36_61_57_75_74_38_15_96_10_21_42_35_81_80_18_59_17_36_67_16_58_60_63_39_87_43_12_9_0_20_91_47_8_51_14_70_0_17_86_23_39_32_77_0_15_77_81_91,1,0.15,14.0
genes_73_57_71_0_89_37_82_8_41_32_36_17_100_40_83_18_21_88_61_41_9_83_71_15_22_23_68_43_46_36_7_56_91_30_78_53_74_78_88_83_76_32_33_85_22_15_56_33_41_16_43_68_76_87_58_86_19_13_96_52_21_72_34_20_80_20_61_17_73_0_16_19_56_63_68_60_15_46_9_2_53_70_47_8_51_92_71_33_70_86_23_44_30_77_7_86_6_78_91,2,0.0708,13.5
genes_0_69_72_2_5_33_77_97_89_22_31_17_89_15_51_47_92_7_56_29_52_79_55_16_52_47_96_39_50_27_68_38_88_22_35_36_78_69_76_31_0_100_61_19_4_9_66_10_41_54_72_83_64_55_73_59_58_5_96_78_54_78_21_90_22_88_69_98_73_10_92_19_90_33_38_62_22_77_9_30_53_100_47_13_41_90_70_15_9_50_15_27_0_52_55_54_3_78_69,2,0.1188,13.5
genes_75_57_75_0_44_27_37_8_65_22_47_6_100_29_44_68_58_6_47_82_38_85_59_19_14_46_67_98_68_50_63_95_48_58_83_74_11_78_49_49_32_75_33_21_19_1_16_58_44_37_49_66_94_54_61_77_38_3_100_80_92_48_21_40_9_89_65_23_75_65_83_39_94_11_38_89_100_88_19_3_67_42_41_17_42_86_8_88_1_29_81_100_0_32_71_78_8_65_87,3,0.075,12.6667
genes_66_64_66_0_5_15_82_99_89_64_71_74_91_33_51_52_57_17_47_26_37_60_57_7_96_72_93_43_46_53_7_90_95_22_83_60_20_76_84_31_80_75_64_19_24_4_76_0_42_79_71_40_57_79_62_82_53_0_96_72_23_2_56_46_19_84_62_17_34_11_1_18_26_3_34_94_6_98_16_68_54_41_39_44_51_22_77_0_100_89_24_39_28_72_0_73_6_67_91,2,0.0625,12.5
genes_67_63_27_91_89_43_82_99_36_32_35_17_92_37_25_18_60_88_58_37_76_67_73_13_67_58_69_43_42_32_11_53_91_25_95_84_84_99_48_83_64_33_86_19_22_15_70_66_41_54_42_65_60_66_75_74_19_0_96_75_54_72_23_20_8_88_66_17_77_0_13_19_12_55_38_60_78_46_15_2_17_95_47_15_56_92_50_44_74_5_61_56_0_72_83_50_6_78_69,1,0.05,12.0
genes_44_57_69_0_26_28_98_36_65_64_47_6_100_32_82_50_10_6_47_88_52_86_72_19_25_50_94_74_43_37_7_93_51_15_79_74_74_73_49_47_0_23_91_21_28_17_16_47_42_37_67_66_30_68_18_79_10_5_95_57_92_48_21_89_3_59_60_7_31_5_47_51_78_65_34_88_78_98_9_3_14_42_11_3_23_5_77_85_70_29_81_99_2_72_0_74_5_74_87,1,0.1167,12.0
genes_70_58_67_29_5_59_35_32_91_51_77_17_95_32_51_18_92_14_61_26_49_47_55_16_70_35_93_61_50_46_7_11_51_22_35_60_73_99_48_33_0_78_61_19_58_9_71_10_41_27_49_68_62_55_73_80_62_0_96_72_54_41_36_20_18_20_9_12_70_19_38_19_18_16_36_88_10_79_16_4_14_100_14_13_77_15_70_0_9_86_15_94_6_52_0_77_31_71_69,1,0.1167,12.0
genes_23_68_11_16_89_59_74_50_91_64_82_91_97_32_51_63_89_9_42_26_37_51_53_7_70_41_89_37_42_25_11_91_49_23_24_60_73_99_48_47_47_75_63_90_22_4_16_3_41_16_57_65_62_38_14_88_71_0_65_92_5_78_21_91_18_20_32_5_32_19_75_13_89_16_38_94_12_90_67_3_17_2_15_19_42_10_71_21_37_91_83_15_6_97_30_54_3_71_92,2,0.0429,11.0
genes_64_56_67_29_44_59_37_9_95_26_44_71_100_28_33_18_23_26_61_87_49_75_17_8_62_36_97_46_85_88_81_40_89_27_13_97_85_76_44_35_2_35_61_19_19_5_34_66_41_0_62_94_63_66_72_8_53_4_100_48_64_41_77_89_26_63_66_19_73_11_15_38_21_87_53_9_42_31_15_3_26_95_44_15_31_21_72_53_9_93_26_50_52_89_49_55_46_79_69,1,0.1,11.0
genes_19_60_66_0_84_59_68_43_68_22_33_71_100_66_25_67_12_24_42_80_18_51_77_10_16_12_100_38_46_32_92_47_48_21_53_77_1_77_43_33_50_70_63_94_29_4_26_6_42_22_85_72_62_74_18_82_38_3_86_45_100_42_38_16_66_84_9_20_73_20_67_32_95_10_37_86_100_73_9_0_11_90_15_12_87_10_97_24_70_86_81_39_1_30_56_58_7_30_92,2,0.055,10.5
genes_19_68_51_16_54_32_30_32_97_0_90_6_100_28_78_31_27_91_60_83_49_67_73_14_28_62_35_72_42_88_41_47_88_28_84_75_54_66_98_44_32_75_56_88_58_14_78_22_43_14_60_68_82_82_61_87_3_0_98_92_10_84_27_89_19_30_59_61_34_10_13_37_89_11_38_88_39_32_92_3_11_39_34_24_26_17_49_27_98_85_75_83_1_33_84_55_25_53_92,2,0.0417,10.0
